GDP,country_code,latitude,longitude
3200,CG,-0.228021,15.827659
3200,KM,-11.875001,43.872219
2900,HT,18.971187,-72.285215
2900,SY,34.802075,38.996815
2800,VU,-15.376706,166.959158
2600,TZ,-6.369028,34.888822
2600,GN,9.945587,-9.696645
2500,YE,15.552727,48.516388
2400,SB,-9.64571,160.156194
2300,LS,-29.609988,28.233608
2300,ET,9.145,40.489673
2200,RW,-1.940278,29.873888
2200,UG,1.373333,32.290275
2200,BF,12.238333,-1.561593
2100,GM,13.443182,-15.310139
2100,ZW,-19.015438,29.154857
2100,TG,8.619543,0.824782
2100,ML,17.570692,-3.996166
1900,KI,-3.370417,-168.734039
1800,GW,11.803749,-15.180413
1700,KP,40.339852,127.510093
1600,ER,15.179384,39.782334
1600,SL,8.460555,-11.779889
1500,AF,33.93911,67.709953
1500,MW,-13.254308,34.301525
1500,MG,-18.766947,46.869107
1400,LR,6.428055,-9.429499
1400,TD,15.454166,18.732207
1200,MZ,-18.665695,35.529562
1200,NE,17.607789,8.081666
1100,CD,-4.038333,21.758664
1100,SO,5.152149,46.199616
700,BI,-3.373056,29.918886
